Jan-90,4680
Feb-90,4685
Mar-90,4691
Apr-90,4693
May-90,4707
Jun-90,4732
Jul-90,4734
Aug-90,4752
Sep-90,4774
Oct-90,4771
Nov-90,4787
Dec-90,4777
Jan-91,4777
Feb-91,4773
Mar-91,4772
Apr-91,4766
May-91,4801
Jun-91,4818
Jul-91,4854
Aug-91,4892
Sep-91,4891
Oct-91,4892
Nov-91,4896
Dec-91,4889
Jan-92,4888
Feb-92,4884
Mar-92,4927
Apr-92,4946
May-92,4965
Jun-92,4973
Jul-92,4992
Aug-92,5032
Sep-92,5042
Oct-92,5052
Nov-92,5058
Dec-92,5059
Jan-93,5071
Feb-93,5070
Mar-93,5106
Apr-93,5167
May-93,5262
Jun-93,5260
Jul-93,5252
Aug-93,5230
Sep-93,5255
Oct-93,5264
Nov-93,5278
Dec-93,5310
Jan-94,5336
Feb-94,5371
Mar-94,5381
Apr-94,5405
May-94,5405
Jun-94,5408
Jul-94,5409
Aug-94,5424
Sep-94,5437
Oct-94,5437
Nov-94,5439
Dec-94,5439
Jan-95,5443
Feb-95,5444
Mar-95,5435
Apr-95,5432
May-95,5433
Jun-95,5432
Jul-95,5484
Aug-95,5506
Sep-95,5491
Oct-95,5511
Nov-95,5519
Dec-95,5524
Jan-96,5523
Feb-96,5532
Mar-96,5537
Apr-96,5550
May-96,5572
Jun-96,5597
Jul-96,5617
Aug-96,5652
Sep-96,5683
Oct-96,5719
Nov-96,5740
Dec-96,5744
Jan-97,5765
Feb-97,5769
Mar-97,5759
Apr-97,5799
May-97,5837
Jun-97,5860
Jul-97,5863
Aug-97,5854
Sep-97,5851
Oct-97,5848
Nov-97,5838
Dec-97,5858
Jan-98,5852
Feb-98,5874
Mar-98,5875
Apr-98,5883
May-98,5881
Jun-98,5895
Jul-98,5921
Aug-98,5929
Sep-98,5963
Oct-98,5986
Nov-98,5995
Dec-98,5991
Jan-99,6000
Feb-99,5992
Mar-99,5986
Apr-99,6008
May-99,6006
Jun-99,6039
Jul-99,6076
Aug-99,6091
Sep-99,6128
Oct-99,6134
Nov-99,6127
Dec-99,6127
Jan-00,6130
Feb-00,6160
Mar-00,6202
Apr-00,6201
May-00,6233
Jun-00,6238
Jul-00,6225
Aug-00,6233
Sep-00,6224
Oct-00,6259
Nov-00,6266
Dec-00,6283
Jan-01,6281
Feb-01,6272
Mar-01,6279
Apr-01,6286
May-01,6288
Jun-01,6318
Jul-01,6404
Aug-01,6389
Sep-01,6391
Oct-01,6397
Nov-01,6410
Dec-01,6390
Jan-02,6462
Feb-02,6462
Mar-02,6502
Apr-02,6480
May-02,6512
Jun-02,6532
Jul-02,6605
Aug-02,6592
Sep-02,6589
Oct-02,6579
Nov-02,6578
Dec-02,6563
Jan-03,6581
Feb-03,6640
Mar-03,6627
Apr-03,6635
May-03,6642
Jun-03,6694
Jul-03,6695
Aug-03,6733
Sep-03,6741
Oct-03,6771
Nov-03,6794
Dec-03,6782
Jan-04,6825
Feb-04,6862
Mar-04,6957
Apr-04,7017
May-04,7065
Jun-04,7109
Jul-04,7126
Aug-04,7188
Sep-04,7298
Oct-04,7314
Nov-04,7312
Dec-04,7308
Jan-05,7297
Feb-05,7298
Mar-05,7309
Apr-05,7355
May-05,7398
Jun-05,7415
Jul-05,7422
Aug-05,7479
Sep-05,7540
Oct-05,7563
Nov-05,7630
Dec-05,7647
Jan-06,7660
Feb-06,7689
Mar-06,7692
Apr-06,7695
May-06,7691
Jun-06,7700
Jul-06,7721
Aug-06,7722
Sep-06,7763
Oct-06,7883
Nov-06,7911
Dec-06,7888
Jan-07,7880
Feb-07,7880
Mar-07,7856
Apr-07,7865
May-07,7942
Jun-07,7939
Jul-07,7959
Aug-07,8007
Sep-07,8050
Oct-07,8045
Nov-07,8092
Dec-07,8089
Jan-08,8090
Feb-08,8094
Mar-08,8109
Apr-08,8112
May-08,8141
Jun-08,8185
Jul-08,8293
Aug-08,8362
Sep-08,8557
Oct-08,8623
Nov-08,8602
Dec-08,8551
Jan-09,8549
Feb-09,8533
Mar-09,8534
Apr-09,8528
May-09,8574
Jun-09,8578
Jul-09,8566
Aug-09,8564
Sep-09,8586
Oct-09,8596
Nov-09,8592
Dec-09,8641
Jan-10,8660
Feb-10,8672
Mar-10,8671
Apr-10,8677
May-10,8761
Jun-10,8805
Jul-10,8844
Aug-10,8837
Sep-10,8836
Oct-10,8921
Nov-10,8951
Dec-10,8952
Jan-11,8938
Feb-11,8998
Mar-11,9011
Apr-11,9027
May-11,9035
Jun-11,9053
Jul-11,9080
Aug-11,9088
Sep-11,9116
Oct-11,9147
Nov-11,9173
Dec-11,9172
Jan-12,9176
Feb-12,9198
Mar-12,9268
Apr-12,9273
May-12,9290
Jun-12,9291
Jul-12,9324
Aug-12,9351
Sep-12,9341
Oct-12,9376
Nov-12,9398
Dec-12,9412
Jan-13,9437
Feb-13,9453
Mar-13,9456
Apr-13,9484
May-13,9516
Jun-13,9542
Jul-13,9552
Aug-13,9545
Sep-13,9552
Oct-13,9689
Nov-13,9666
Dec-13,9668
Jan-14,9664
Feb-14,9681
Mar-14,9702
Apr-14,9750
May-14,9796
Jun-14,9800
Jul-14,9835
